lab,max_t,num_obs,md
beta,28.0,40,2.044507473758856
rep-number,28.0,40,3.0863744852511434
growth-rate,28.0,40,4.342915505572442
beta,28.5,40,2.0493334613721914
rep-number,28.5,40,3.095197622287768
growth-rate,28.5,40,4.338138130662015
beta,29.0,40,2.0535414968613885
rep-number,29.0,40,3.103183166144519
growth-rate,29.0,40,4.333284094503979
beta,29.5,40,2.057173554632855
rep-number,29.5,40,3.1103852209639515
growth-rate,29.5,40,4.3283628863020365
beta,30.0,40,2.060268599554615
rep-number,30.0,40,3.1168539423946866
growth-rate,30.0,40,4.3233830862850215
beta,30.5,40,2.0628628569236707
rep-number,30.5,40,3.122635908157212
growth-rate,30.5,40,4.318352689237916
beta,31.0,40,2.064988760151374
rep-number,31.0,40,3.127773487378718
growth-rate,31.0,40,4.313277198057308
beta,31.5,40,2.066677080023243
rep-number,31.5,40,3.132306852346318
growth-rate,31.5,40,4.308162733630654
beta,32.0,40,2.0679565400935953
rep-number,32.0,40,3.1362735015538274
growth-rate,32.0,40,4.303015384792854
beta,32.5,40,2.0688544325833913
rep-number,32.5,40,3.1397091847737695
growth-rate,32.5,40,4.297841240239844
beta,33.0,40,2.0693959679880036
rep-number,33.0,40,3.14264734822675
growth-rate,33.0,40,4.292645509579801
beta,33.5,40,2.069604381033685
rep-number,33.5,40,3.145118668064624
growth-rate,33.5,40,4.287432466390259
beta,34.0,40,2.0695013887726414
rep-number,34.0,40,3.1471518825108853
growth-rate,34.0,40,4.282206197309534
beta,34.5,40,2.0691066880937377
rep-number,34.5,40,3.1487733972540806
growth-rate,34.5,40,4.276970255251425
beta,35.0,40,2.0684391808244427
rep-number,35.0,40,3.1500084225926517
growth-rate,35.0,40,4.271728416736035
beta,35.5,40,2.0675160681477163
rep-number,35.5,40,3.1508800629802547
growth-rate,35.5,40,4.2664832342983985
beta,36.0,40,2.066353525428729
rep-number,36.0,40,3.151410308769669
growth-rate,36.0,40,4.261237243808497
beta,36.5,40,2.064967455173387
rep-number,36.5,40,3.1516205401146284
growth-rate,36.5,40,4.255993481938896
beta,37.0,40,2.0633727217151376
rep-number,37.0,40,3.151530866564257
growth-rate,37.0,40,4.25075410635791
beta,37.5,40,2.061583425393489
rep-number,37.5,40,3.151160259078626
growth-rate,37.5,40,4.245521671912241
beta,38.0,40,2.059612379494942
rep-number,38.0,40,3.1505262147715123
growth-rate,38.0,40,4.240298122387058
beta,38.5,40,2.0574713591178777
rep-number,38.5,40,3.1496447504505585
growth-rate,38.5,40,4.235085530891338
beta,39.0,40,2.0551714066848015
rep-number,39.0,40,3.148531233884119
growth-rate,39.0,40,4.229885367286059
beta,39.5,40,2.0527229535862084
rep-number,39.5,40,3.1471999261944297
growth-rate,39.5,40,4.2246994171272005
beta,40.0,40,2.0501364139329787
